date,Battery (Charging) - MW,Pumps - MW,Exports - MW,Imports - MW,Coal (Black) - MW,Bioenergy (Biomass) - MW,Distillate - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Waste Coal Mine) - MW,Battery (Discharging) - MW,Hydro - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-12-11T20:20:00Z,-0.49,0,0,288.7,4977.15,62,160.97,977.94,344.07,56.84,92.63,397.62,404.41,0.2,0,23.83,0,17.02,369.74,0.14,14.08,36.73,17.77,2.91,765.61,213.53
2024-12-11T20:25:00Z,-0.49,0,0,244.2,4978.82,60.2,159.97,975.81,329.63,56.84,75.62,396.07,393.35,0.2,0,23.82,0,14.24,369.86,0.13,14,36.67,17.06,2.91,760.04,177.73
2024-12-11T20:30:00Z,-0.49,0,0,371.4,5007.35,57.8,160.97,983.82,334.12,56.97,4.65,406.22,380.76,25.1,0,23.8,0,21.86,371.95,0.13,14.08,36.91,17.28,2.91,792.17,212.87
2024-12-11T20:35:00Z,-0.77,0,0,257.4,4972.19,57.4,159.97,965.98,327.41,56.97,65.64,391.56,371.01,0.2,0,23.73,0,15.19,369.41,0.13,14,36.28,16.96,2.91,767.69,200
2024-12-11T20:40:00Z,-0.49,0,0,396.1,4994.51,61,114.97,977.91,331.66,56.65,112.53,232.55,370.11,0.2,0,23.67,0,23.19,371.03,0.13,10.06,36.67,17.17,2.9,807.2,214.6
2024-12-11T20:45:00Z,-0.49,0,0,377.4,4987.28,63.6,90.97,969.31,330.21,56.77,109.61,230.96,390.79,0.2,0,23.6,0,22.36,370.52,0.14,7.96,36.36,17.1,2.9,800.95,177.73
2024-12-11T20:50:00Z,-0.49,0,0,374,4964.28,64.4,90.97,975.05,329.82,55.08,111.95,230.59,416.48,0.2,0,23.53,0,22.14,368.83,0.14,7.96,36.56,17.08,2.82,796.33,177.73
2024-12-11T20:55:00Z,-0.76,0,0,431.3,4948.11,60.4,90.97,965.74,328.74,54.32,34.86,228.35,428.22,0.2,0,23.47,0,25.61,367.64,0.13,7.96,36.23,17.02,2.77,818.2,144.61
2024-12-11T21:00:00Z,-0.72,0,0,381.9,4953.11,62.3,90.97,971.71,329.36,54.93,20.64,231.85,442.28,0.2,0,23.4,0,22.69,368.03,0.14,7.96,36.44,17.05,2.81,806.14,143.12
2024-12-11T21:05:00Z,-0.97,0,0,325,4960.54,64,90.97,949,329.19,55.6,4.64,227.44,457.23,0.2,0,23.33,0,19.32,368.55,0.14,7.96,35.67,17.05,2.84,795.29,142.91
